name,parliamentary_constituency,latt_long,network,county,region,needs
Keynsham,North East Somerset,"51.413263,-2.4974196",Trussell Trust,Somerset,South West,"['Granulated Sugar (Small Packets)', 'Cooking Oil (1 Litre Or Less, Ie Small Bottles)', 'Small Tins Of Any Veg', 'Shower Gel', '""Pasta\'n\'sauce"" (This Is A Dry Packet Mix.... No Pasta Thank You!)']"
Uist & Barra,Na h-Eileanan an Iar,"57.47121,-7.370998",Independent,Scotland,Scotland,
Tewkesbury,Tewkesbury,"51.991571,-2.159503",Trussell Trust,Gloucestershire,South West,
Highland,"Inverness, Nairn, Badenoch and Strathspey","57.481373,-4.231293",Independent,Scotland,Scotland,
Loughborough Area,Loughborough,"52.778857,-1.2401039",Trussell Trust,Leicestershire,East Midlands,"['UHT Milk', 'Soup', 'Cooking Sauces', 'Baked Beans', 'Pot Noodles', 'Shower Gel']"
Redcar,Redcar,"54.618411,-1.069532",Trussell Trust,North Yorkshire,Yorkshire & Humber,"['Long Life Milk (None)', 'Sweets Of Any Kind (None)', 'Tinned Rice Pudding (Very Low)', 'Tinned Custard (Very Low)', 'Long Life Fruit Juice (None)', 'Bottles Of Squash (None)', 'Instant Mash (Very Low)', 'Tinned Potatoes (Very Low)', 'Jam, Cuppa Soup, Crisps, Hot Chocolate (None)', 'Sponge Puddings (We Have None At All)', 'Toilet Rolls (Very Low)', 'Shampoo (None)', 'Razors/shaving Foam (None)', 'Toothpaste (Low)', 'Shower Gel', 'Deodorant For Men And Women (None)', 'Washing Up Liquid (Lnone)', 'Multi-purpose Cleaner (Low)']"
Wimborne,Mid Dorset and North Poole,"50.796761,-1.971769",IFAN,Dorset,South West,"['Tinned Custard', 'Washing Up Liquid', 'Long Life Fruit Juice', 'Washing Pods', 'Packs Of Sugar', 'Adult Toothbrushes', 'Breadsticks', 'Easter Eggs / Treats', 'Crisps / Popcorn', 'Shower Gel']"
Deal Area,Dover,"51.2271449,1.3978064",Trussell Trust,Kent,South East,
Ballymena,North Antrim,"54.84942239999999,-6.2717299",Trussell Trust,Northern Ireland,Northern Ireland,
Norwood & Brixton,Streatham,"51.43794,-0.1173614",Trussell Trust,Greater London,London,
Bexhill,Bexhill and Battle,"50.841258,0.474002",Trussell Trust,East Sussex,South East,
East Ayrshire,Kilmarnock and Loudoun,"55.608619,-4.50392",Trussell Trust,Scotland,Scotland,
South & East Bristol,Bristol West,"51.462283,-2.571277",Trussell Trust,Bristol,South West,"['Fruit Juice (Long Life)', 'Tinned Meat Meals (No Pork Please)', 'Savoury Snack (Crisps Noodles Etc.)', 'Jam', 'UHT Milk (Long-life)', 'Tinned Soup (Meat And Veggie)', 'Tinned Tomatoes', 'Tinned Vegetables - Peas, Carrots, Sweetcorn', 'Toothpaste', 'Rice Pudding']"
Ivybridge,South West Devon,"50.388917,-3.921691",Trussell Trust,Devon,South West,
Ashbourne,Derbyshire Dales,"53.0103403,-1.7421312",Independent,Derbyshire,West Midlands,
Re:store Northampton,Northampton South,"52.240363,-0.897855",IFAN,Northamptonshire,East Midlands,
Letchworth,North East Hertfordshire,"51.978397,-0.223271",Trussell Trust,Hertfordshire,East,
Booth Centre,Blackley and Broughton,"53.492446,-2.242477",IFAN,Greater Manchester,North West,
North Paddington,Westminster North,"51.5247647,-0.1967223",Independent,Greater London,London,
Belfast South,Belfast South,"54.58789549999999,-5.9069457",Trussell Trust,Northern Ireland,Northern Ireland,
Fitzjohn's,Lewes,"50.875909,-0.000966",Independent,East Sussex,South East,
Newcastle (Staffs),Newcastle-under-Lyme,"53.043731,-2.248287",Trussell Trust,Staffordshire,West Midlands,
Hatfield,Welwyn Hatfield,"51.761713,-0.227629",Trussell Trust,Hertfordshire,East,
Aberdeenshire South,West Aberdeenshire and Kincardine,"57.0516924,-2.5052134",Trussell Trust,Scotland,Scotland,
Devizes & District,Devizes,"51.352,-1.985763",Trussell Trust,Wiltshire,South West,"['Long Life Milk', 'Jam', 'Tinned Rice Pudding', 'Long Life Fruit Juice', 'Long Life Sponge Puddings', 'Instant Mash Potato', 'Pasta Sauce', 'Shower Gel', 'Tinned Custard', 'Instant Coffee', 'Snacks - E.g. Instant Noodles, Instant Pasta', 'Shampoo', ""Deodorant (Men's And Ladies')""]"
AFRIL,Eltham,"51.455259,0.018572",IFAN,Greater London,London,
One Can Trust (High Wycombe),Wycombe,"51.629239,-0.742207",Independent,Buckinghamshire,South East,
Lincoln,Lincoln,"53.229346,-0.542597",Trussell Trust,Lincolnshire,Yorkshire & Humber,
Orkney,Orkney and Shetland,"58.9834733,-2.9611451",Trussell Trust,Scotland,Scotland,
Vauxhall,Vauxhall,"51.48792,-0.119192",Trussell Trust,Greater London,London,"['Toiletries', 'Tinned Tomatoes', 'Washing Up Liquid Laundry Pods', 'Tinned Soup', 'Baked Beans', 'Dried Pulse', 'Rice 500g/1kg', 'Single Sachet Porridge', 'Sanitary Pads', 'UHT Sponge Puddings', 'Tinned Meat (Pork Free)', 'Flour 500g/1kg', 'UHT Milk', 'Toilet Rolls', 'Hot Chocolate']"
Aston & Nechells,"Birmingham, Ladywood","52.4906246,-1.8772755",Trussell Trust,West Midlands,West Midlands,
Leek & District,Staffordshire Moorlands,"53.106642,-2.029684",Trussell Trust,Staffordshire,West Midlands,
Ottery St Mary,East Devon,"50.751155,-3.277881",Independent,Devon,South West,
King's (Darlington),Darlington,"54.541141,-1.558765",Independent,County Durham,North East,
Bournemouth,Bournemouth East,"50.728007,-1.836624",Trussell Trust,Dorset,South West,
Northampton Hope Centre,Northampton South,"52.242231,-0.897266",IFAN,Northamptonshire,East Midlands,
Shoreham,East Worthing and Shoreham,"50.834958,-0.269386",Trussell Trust,West Sussex,South East,
Clay Cross,North East Derbyshire,"53.163506,-1.413403",Trussell Trust,Derbyshire,West Midlands,
Swanley and District,Sevenoaks,"51.396357,0.163644",Trussell Trust,Kent,South East,"['UHT Milk', 'Long Life Juice', 'Fajita Meal Packs', 'Instant Gravy Granules', 'Jars Of Cooking Sauces E.g. Sweet & Sour, Sausage Casserole (Not Pasta Sauce Please)', 'Peanut Butter', 'Tinned/packet Custard', 'Tinned Potatoes', 'Tinned Rice Pudding', 'Feminine Hygiene', ""Men's Razors"", 'Shaving Foam / Gel', 'Toilet Rolls', 'Washing Powder/gel/capsules']"
New Forest Basics Bank,New Forest West,"50.759668,-1.541546",IFAN,Hampshire,South East,
Skegness,Boston and Skegness,"53.1500593,0.3460479",Independent,Lincolnshire,Yorkshire & Humber,
Lichfield,Lichfield,"52.682171,-1.827571",Trussell Trust,Staffordshire,West Midlands,
Skelmersdale,West Lancashire,"53.553589,-2.775355",Trussell Trust,Lancashire,North West,
Clifton NG11,Nottingham South,"52.910502,-1.170372",Trussell Trust,Nottinghamshire,East Midlands,
Chipping Barnet,Chipping Barnet,"51.648196,-0.177089",Trussell Trust,Hertfordshire,East,"['Pasta Sauces', 'Tinned Or Instant Potatoes', 'Long Life Fruit Juice', 'Long-life Dairy Milk (We Have Plenty Of Soya And Oat Milk)', 'Washing Up Tablets Or Liquid Capsules For Clothing (Please No Large Boxes)']"
Milton Keynes,Milton Keynes South,"52.047604,-0.823532",IFAN,Buckinghamshire,South East,
B30,"Birmingham, Selly Oak","52.41534,-1.930398",Trussell Trust,West Midlands,West Midlands,"['Tinned Potatoes', 'Rice', 'Instant Coffee (Not Decaf)', 'Sugar (500g Bags Not Larger)', 'Tinned Spaghetti', 'Cereal(not Greater Than 500gm)', 'Porridge', 'Gender Neutral Shampoo', 'Toothpaste', 'Toilet Rolls', 'Strong Carrier Bags', 'Tinned Fruit In Juice(not Prunes Or Grapefruit)', 'Squash', 'Long Life Fruit Juice', 'UHT Semi Skimmed Milk', 'Dog/cat Food', 'Instant Hot Chocolate (Made Up With Water Not Milk)', 'UHT Whole Milk', 'Crisps', 'Tinned Rice Pudding', 'Small Packets Of Tea Bags (40’s And 80’s)', 'Jam, Honey', 'Ready Made Custard Tins Or Cartons Not Powder', 'Chocolate And Snack Bars', 'Liquid Or Bar Soap', 'Laundry Liquid Or Powder (Not Family Sized)']"
Farnborough,Aldershot,"51.260668,-0.762468",Trussell Trust,Hampshire,South East,"['Longlife Cartons Of Milk', 'Tinned Ham - 200gm And 340gm', 'Tinned Corned Beef', 'Tinned Meatballs', 'Tinned Luncheon Meat', 'Microwave Rice 250gm', 'Savoury Noodles', 'Mugshots', 'Sugar, Small Bags', 'Rice Pudding', 'Sponge Pudding', 'Shampoo', 'Toilet Rolls', 'Size 3, 5, 6 And 6+ Nappies']"
Dumfriesshire,Dumfries and Galloway,"55.069597,-3.612905",Trussell Trust,Scotland,Scotland,
Erdington,"Birmingham, Erdington","52.520672,-1.842705",Trussell Trust,West Midlands,West Midlands,
Bromley Borough,Orpington,"51.3718841,0.09336839999999999",Trussell Trust,Kent,South East,
Brentwood,Brentwood and Ongar,"51.627473,0.343749",Trussell Trust,Essex,East,
Oldham,Oldham East and Saddleworth,"53.550814,-2.08886",Trussell Trust,Greater Manchester,North West,"['Tinned Meat', 'Tinned Potatoes', 'Sugar', 'Biscuits', 'Jam/ Marmalade']"
Greenwich,Eltham,"51.4679836,0.0690764",Trussell Trust,Greater London,London,
Cheadle and District,Stone,"52.987161,-1.986491",Trussell Trust,Staffordshire,West Midlands,"['Coffee', 'Tinned Potatoes', 'Instant Mashed Potatoes', 'Tinned Fruit', 'Tinned Custard', 'UHT (Long Life) Milk', 'Antiperspirant Deodorant', 'Tinned Fruit', 'Tinned Custard', 'Toilet Rolls', 'Easy Cook Rice']"
Stroud District,Stroud,"51.719516,-2.191622",Trussell Trust,Gloucestershire,South West,
Gatehouse (Bury St Edmunds),Bury St Edmunds,"52.248386,0.689198",Independent,Suffolk,East,
Christchurch,Christchurch,"50.735505,-1.76557",Independent,Dorset,South West,
East Dunbartonshire,East Dunbartonshire,"55.937563,-4.154252",Trussell Trust,Scotland,Scotland,
Rickmansworth,South West Hertfordshire,"51.6395907,-0.4895046",Trussell Trust,Buckinghamshire,South East,
Dundonald,Belfast East,"54.5943531,-5.8049172",Trussell Trust,Northern Ireland,Northern Ireland,
Glastonbury,Wells,"51.138656,-2.674388",Independent,Somerset,South West,
Glenrothes,Glenrothes,"56.1893732,-3.1842082",Trussell Trust,Scotland,Scotland,"['Rice', 'Tinned Potatoes/instant Mash', 'Meat Paste', 'UHT Milk', 'Cereal', 'Porridge', 'Tinned Fruit', 'Fray Bentos Pies', 'Laundry Tablets', 'Tinned Spaghetti']"
Medway,Rochester and Strood,"51.390035,0.51954",Trussell Trust,Kent,South East,
Glasgow NW,Glasgow North West,"55.885583,-4.364589",Trussell Trust,Scotland,Scotland,
Carmarthen,Carmarthen West and South Pembrokeshire,"51.848417,-4.321805",Trussell Trust,Wales,Wales,
Slough,Slough,"51.523551,-0.620106",Trussell Trust,Berkshire,South East,"['Jam', 'Long-life Fruit Juice', 'Tinned Fruit', 'Long-life Milk', 'Long-life Custard', 'Instant Mash', 'Tinned Meat (Stewed Steak, Mince, Chicken In Sauce)', 'Tinned Vegetarian Meals', 'Coffee (Small Jars)', 'Tinned Carrots/mixed Veg', 'Long-life Rice Pudding', 'Shampoo', 'Deodorant', 'Washing Up Liquid', 'Razors', 'Toothpaste', 'Shaving Foam/gel', 'Strong Carrier Bags']"
Farnham,South West Surrey,"51.213761,-0.796502",Trussell Trust,Surrey,South East,"['UHT Milk', 'Tinned Tomatoes', 'Instant Mashed Potato', 'Squash/juice']"
Barrow,Barrow and Furness,"54.119021,-3.219496",Trussell Trust,Cumbria,North West,
Selkirk,"Berwickshire, Roxburgh and Selkirk","55.549001,-2.838703",IFAN,Scotland,Scotland,
Bath,Bath,"51.379811,-2.3557993",Trussell Trust,Somerset,South West,"['Coffee (Instant)', 'Long Life Juice', 'Milk (UHT)', 'Pet Food', 'Sponge Pudding', 'Vegetarian Tinned Meals']"
The Whitehawk,"Brighton, Kemptown","50.827626,-0.104856",Trussell Trust,East Sussex,South East,"['Tinned Curry (Meat / Vegan / Vegetarian)', 'Tinned Tuna', 'Tinned Vegetables', 'Mayonnaise', 'Tinned Fruit', 'Tinned Hot Dog Sausages', 'Tinned Meatballs', 'UHT Milk', 'Toilet Rolls', 'Deodorant']"
Lowestoft,Waveney,"52.445218,1.717306",Trussell Trust,Suffolk,East,
Gateshead,Gateshead,"54.933535,-1.58763",Trussell Trust,Tyne and Wear,North East,
Heywood,Heywood and Middleton,"53.593738,-2.218083",Independent,Greater Manchester,North West,
North Norfolk,North Norfolk,"52.930115,1.295002",Trussell Trust,Norfolk,East,
Armagh,Newry and Armagh,"54.35930459999999,-6.6265439",Trussell Trust,Northern Ireland,Northern Ireland,
Action Homeless,Harborough,"52.581095,-1.100996",IFAN,Leicestershire,East Midlands,
Epping Forest,Epping Forest,"51.644176,0.082077",Trussell Trust,Essex,East,
Sutton Coldfield,Sutton Coldfield,"52.5636409,-1.8218609",Independent,West Midlands,West Midlands,
Cupar,North East Fife,"56.319395,-3.009725",Trussell Trust,Scotland,Scotland,
Rhondda,Rhondda,"51.647981,-3.431774",Trussell Trust,Wales,Wales,
Cirencester,The Cotswolds,"51.715069,-1.967819",Trussell Trust,Gloucestershire,South West,
Skipton,Skipton and Ripon,"53.961362,-2.012054",Independent,North Yorkshire,Yorkshire & Humber,"['Single Toothbrushes', 'Washing Powder', 'Tinned Meat', 'Long Grain Rice', 'Cleaning Products', 'Washing Powder', 'Shower Gel', 'Shampoo', 'Tinned Spaghetti', 'Rice Pudding', 'Tinned Dog Food']"
Great Barr,West Bromwich East,"52.5382697,-1.9507611",Trussell Trust,West Midlands,West Midlands,
Bracknell,Bracknell,"51.415018,-0.746129",Trussell Trust,Berkshire,South East,
Basildon,South Basildon and East Thurrock,"51.566237,0.504061",Trussell Trust,Essex,East,
Redbridge,Ilford South,"51.563158,0.07096",Trussell Trust,Greater London,London,"['Teabags', 'Tinned Fish', 'Tinned Fruit', 'Rice', 'Packet Noodles', 'Vegetarian Food Items (Tins / Packets)', 'Cooking Oil', 'Pasta Sauce', 'Long Life Milk', 'Long Fruit Juice', 'Jam / Spreads', 'Custard / Rice Pudding', 'Shampoo', 'Shower Gel', 'Toothpaste', 'Toilet Rolls']"
Dover,Dover,"51.129828,1.309734",Trussell Trust,Kent,South East,
Pontefract,"Normanton, Pontefract and Castleford","53.690117,-1.315633",Trussell Trust,North Yorkshire,Yorkshire & Humber,
Malmesbury & District,North Wiltshire,"51.585798,-2.10263",Trussell Trust,Wiltshire,South West,"['Tinned Fish', 'Meat Pies', 'Tinned Meat', 'Sponge Puddings', 'Bottles Of Squash', 'Long Life Fruit Juice', 'Washing Up Liquid', 'Tinned Cat Food And Tinned Dog Food', 'Vegetable Pies And Meals Suitable For Vegetarians And Vegans', 'Tinned Vegetables', 'Laundry Powder/liquid', 'Tinned Potatoes', 'Tinned Spaghetti', 'Tinned Fish', 'Meat Pies', 'Tinned Meat', 'Sponge Puddings', 'Bottles Of Squash', 'Rice', 'Long Life Fruit Juice', 'Sauces (Ketchup, Brown Sauce, Mayonnaise)', 'Washing Up Liquid', 'Tinned Cat Food And Tinned Dog Food', 'Vegetable Pies And Meals Suitable For Vegetarians And Vegans', 'Tinned Vegetables', 'Laundry Powder/liquid', 'Tinned Potatoes', 'Tinned Spaghetti']"
Dunfermline,Dunfermline and West Fife,"56.0487751,-3.4333121",Trussell Trust,Scotland,Scotland,
Larne,East Antrim,"54.86387970000001,-5.836378",Trussell Trust,Northern Ireland,Northern Ireland,
Widnes,Halton,"53.371367,-2.7217164",Trussell Trust,Cheshire,West Midlands,"['500g Coffee', 'UHT Milk', 'Tinned Carrots', 'Biscuits', 'Jam', 'Tinned Spaghetti', 'Cereal', 'UHT Juice', 'Long Grain Rice', '1l UHT Juice', 'Sponge Puddings', 'Jam', 'UHT Milk', 'Tinned Vegetables', 'Biscuits/treats', 'Cleaning Products']"
Dundee & Angus,Dundee West,"56.479704,-3.013476",Trussell Trust,Scotland,Scotland,"['Tinned Meat', 'Coffee, Instant', 'Nappies, Size 6 & 7', 'Diluting Juice', 'Toiletries', 'Long-life Milk']"
Dunstable,South West Bedfordshire,"51.885769,-0.52213",Trussell Trust,Bedfordshire,East,"['Tinned Fish, E.g. Tuna, Mackerel, Pilchards, Salmon', 'Tinned Tomatoes', 'Tinned Meat (E.g. Ham, Spam, Pork)', 'Tinned Rice Pudding', 'Sponge Puddings', 'Milk (UHT/long-life)', 'Fruit Juice (UHT Carton)', 'Soup', 'Pasta Sauces (Jar)', 'Tinned Tomatoes', 'Tinned Meat Meals', 'Tinned Fish (Tuna, Salmon, Mackerel Etc.)', 'Tinned Vegetables', 'Tinned Potatoes & Instant Mash Potato', 'Rice & Pasta', 'Tinned Fruit', 'Cereal', 'Rice Pudding (Tinned)', 'Tea Bags & Instant Coffee', 'Jam', 'Snack Noodles (Pots/packets)', 'Biscuits & Snack Bars']"
Chepstow,Monmouth,"51.631642,-2.672458",Trussell Trust,Wales,Wales,
Yeovil,Yeovil,"50.937501,-2.630414",Independent,Somerset,South West,"['Tinned Tomatoes', 'Tins Of Hot Dogs', 'Tins Of Macaroni Cheese', 'Tinned Chilli', 'Tinned Curry', 'Jars Of Pasta Sauce', 'Packets Of Savory Rice', 'Carrier Bags']"
Port Talbot,Aberavon,"51.595695,-3.784025",Trussell Trust,Wales,Wales,"['Long Life Fruit Juice', 'Jars Of Pasta Sauce', 'All Tinned Fish', 'All Tinned Fruit', 'Small Jars Of Coffee', 'Bottles Of Squash', 'All Toiletries Including Toilet Roll']"
Romsey,Romsey and Southampton North,"50.994652,-1.495699",Trussell Trust,Hampshire,South East,"['Instant Mash Potato', 'Multi-pack Crisps', 'Desserts/sponge Puddings', 'Peanut Butter', 'Marmite', 'Pot Noodles / Mug Shots ( Pasta Needing Only Boiling Water Adding To It)', 'Tinned Peas', 'Tinned Sweetcorn', 'Custard', 'Multi-pack Chocolate Bars', 'Shower Gel', 'Long Life Fruit Juice', 'Bottles Of Squash', 'Instant Coffee', 'Instant Mash Potato', 'Desserts/sponge Puddings', 'Peanut Butter', 'Marmite', 'Pot Noodles / Mug Shots ( Pasta Needing Only Boiling Water Adding To It)', 'Tinned Peas', 'Tinned Sweetcorn', 'Custard', 'Multi-pack Chocolate Bars']"
Glasgow NE,Glasgow East,"55.848159,-4.198709",Trussell Trust,Scotland,Scotland,
Bloxwich & Blakenall,Walsall North,"52.614942,-1.987663",Trussell Trust,Staffordshire,West Midlands,
Enniskillen,Fermanagh and South Tyrone,"54.34543679999999,-7.6386684",Trussell Trust,Northern Ireland,Northern Ireland,
Canterbury,Canterbury,"51.358287,1.059042",Trussell Trust,Kent,South East,
Barking,Dagenham and Rainham,"51.567829,0.141991",Trussell Trust,Greater London,London,
Somer Valley,Somerton and Frome,"51.27279,-2.415766",Trussell Trust,Somerset,South West,"['Long Life Fruit Juice', 'Milk Powder', 'Sponge Puddings', 'Tinned Custard', 'Tinned Tuna', 'Meat Soup', 'Tomato Ketchup And Brown Sauce', 'Savoury Snacks', 'Tinned Spaghetti', 'Cleaning Products', 'Kitchen Rolls And Toilet Rolls', 'Washing Powder', 'Carrier Bags']"
Nuneaton,Nuneaton,"52.53591249999999,-1.441407",Trussell Trust,Warwickshire,West Midlands,"['Pasta Sauce', 'Tinned Spaghetti /Loops', 'Custard - Tins Or Cartons', 'Rice Pudding', 'Tinned Fruit', 'Coffee', 'Tinned Potatoes', 'Puddings', 'Cereals', 'Squash', 'Fruit Juice', 'Tinned Fish', 'Tinned Tomatoes', 'Tinned Carrots', 'Crisps', 'Dog Food', 'Toilet Rolls', 'Shampoo', 'Washing-up Liquid', 'Washing Powder', 'Nappies Size 5+6', 'Shaving Foam/gel']"
Sid Valley,East Devon,"50.6955635,-3.2380279",Independent,Devon,South West,
Tameside South & Longdendale,Stalybridge and Hyde,"53.450624,-2.025032",Trussell Trust,Derbyshire,West Midlands,
Risca,Islwyn,"51.604084,-3.094997",Trussell Trust,Wales,Wales,
Ealing,"Ealing, Southall","51.511043,-0.335499",Trussell Trust,Greater London,London,"['Breakfast Cereal (No Porridge Please)', 'Tinned Fish', 'UHT Milk (Whole Or Semi-skimmed)', 'Instant Coffee & Drinking Chocolate', 'Tomatoes / Cook In Sauce', 'Tinned Fruit / Vegetables', 'Jam & Peanut Butter', 'Cooking Oil', 'Laundry Products - Smaller Packs', 'Savoury Biscuits / Crackers', 'Nappies (Sizes 5 And 6)']"
Horsham District,Horsham,"51.0695251,-0.3086032",Trussell Trust,West Sussex,South East,"['Marmite, Honey, Chocolate Spread', 'Sponge Puddings', 'Squash', 'Crisps And Savoury Snacks']"
Peeblesshire,"Dumfriesshire, Clydesdale and Tweeddale","55.645926,-3.171349",Trussell Trust,Scotland,Scotland,
Hackney,Hackney South and Shoreditch,"51.531479,-0.085891",Trussell Trust,Greater London,London,
Airdrie,Airdrie and Shotts,"55.845037,-3.965612",Trussell Trust,Scotland,Scotland,
Gloucester,Gloucester,"51.866796,-2.238316",Trussell Trust,Gloucestershire,South West,
St. Mary's Haughton Green,Denton and Reddish,"53.438072,-2.101284",IFAN,Greater Manchester,North West,
Llandrindod,Brecon and Radnorshire,"52.2396971,-3.3805119",Trussell Trust,Wales,Wales,
Belfast South West,Belfast West,"54.570633,-6.0048693",Trussell Trust,Northern Ireland,Northern Ireland,
Walton & Hersham,Esher and Walton,"51.385802,-0.418315",Trussell Trust,Surrey,South East,"['Long Life Carrier Bags In Good Condition (To Pack Parcels In)', 'Small Jars Instant Coffee', 'Long Life Milk', 'Tin Fruit', 'Fruit Juice', 'Sponge Puddings', 'Chocolate Bars', 'Crisps And Savoury Snacks', 'Table Sauce - Ketchup', 'Shampoo', 'Shaving Razors', 'Deodorant']"
St Albans and District,Hitchin and Harpenden,"51.826621,-0.344605",Trussell Trust,Hertfordshire,East,
Pembrokeshire,Carmarthen West and South Pembrokeshire,"51.797847,-4.742371",Trussell Trust,Wales,Wales,
Cramlington,Blyth Valley,"55.084481,-1.591516",Trussell Trust,Northumberland,North East,
Market Drayton,North Shropshire,"52.902598,-2.485158",Trussell Trust,Shropshire,West Midlands,"['UHT Milk - No Stock', 'Long Life Cartons Of Fruit Juice - No Stock', 'Toilet Rolls - No Stock', 'Packets Of Instant Mash - No Stock', 'Biscuits - No Stock', 'Washing Powder/tabs', 'Washing Up Liquid', 'Male/female Deodorant', 'Shampoo', 'Sponge Puddings/slab Cake', 'Washing Tabs/ Powder', 'Toilet Rolls - No Stock', 'Packets Of Instant Mash - No Stock', 'Biscuits - No Stock', 'Long Life Cartons Of Fruit Juice - Low Stock', 'UHT Milk - Low Stock', 'Soup', 'Eggs', 'Sponge Puddings/slab Cake', 'Custard', 'Washing Tabs/ Powder', 'Toilet Rolls - No Stock', 'Packets Of Instant Mash - No Stock', 'Biscuits - No Stock', 'Soup - Low Stock', 'Eggs', 'Sponge Puddings/slab Cake', 'UHT Milk', 'Long Life Cartons Of Fruit Juice', 'Custard', 'Deodorant', 'Packets Of Instant Mash - No Stock', 'Biscuits - No Stock', 'Soup - Low Stock', 'Eggs', 'Sponge Puddings/slab Cake', 'UHT Milk', 'Long Life Cartons Of Fruit Juice', 'Custard', 'Deodorant', 'Tinned Potatoes - No Stock', 'Soup - No Stock', 'Tinned Fruit', 'Sponge Puddings/slab Cake', 'Eggs', 'Jam', 'Custard', 'UHT Milk', 'Long Life Cartons Of Fruit Juice', 'Deodorant', 'Soup - No Stock', 'Tinned Fruit', 'Sponge Puddings/slab Cake', 'Eggs', 'Jam', 'Custard', 'UHT Milk', 'Long Life Cartons Of Fruit Juice', 'Deodorant', 'Soup - Low Stock', 'Tinned Fruit', 'Sponge Puddings/slab Cake', 'Jam', 'Custard', 'UHT Milk', 'Long Life Cartons Of Fruit Juice', 'Deodorant']"
Atherton & Leigh,Bolton West,"53.523718,-2.491083",Trussell Trust,Greater Manchester,North West,
CPR,Camborne and Redruth,"50.2149704,-5.2931329",Independent,Cornwall,South West,
Sparkhill,"Birmingham, Yardley","52.456697,-1.840828",Trussell Trust,West Midlands,West Midlands,
Bude,North Cornwall,"50.823637,-4.54062",Independent,Cornwall,South West,
Shetland,Orkney and Shetland,"60.156552,-1.148444",Trussell Trust,Scotland,Scotland,
Chiltern,Chesham and Amersham,"51.706077,-0.611915",Trussell Trust,Buckinghamshire,South East,"['Tinned Fruit', 'Tinned Meat', 'Tinned Vegetables', 'Tinned Custard', 'Rice 500g', 'Tinned Spaghetti Bolognese']"
Kingfisher,Meriden,"52.508743,-1.753005",Trussell Trust,West Midlands,West Midlands,
Croydon,Croydon North,"51.376993,-0.106844",Trussell Trust,Greater London,London,
Dorchester,West Dorset,"50.714577,-2.442348",Independent,Dorset,South West,
Cumbernauld,"Cumbernauld, Kilsyth and Kirkintilloch East","55.946508,-3.991549",Trussell Trust,Scotland,Scotland,
Cardigan,Ceredigion,"52.081979,-4.661924",Trussell Trust,Wales,Wales,
Bradford North,Bradford East,"53.8229447,-1.7120171",Trussell Trust,West Yorkshire,Yorkshire & Humber,
Bridgwater,Bridgwater and West Somerset,"51.128731,-3.007773",Trussell Trust,Somerset,South West,
Gillingham,North Dorset,"51.0371884,-2.2731316",Trussell Trust,Dorset,South West,
Clapham Park,Streatham,"51.45038,-0.140953",Trussell Trust,Greater London,London,
Long Eaton & Sawley,Erewash,"52.902772,-1.282367",Trussell Trust,Derbyshire,West Midlands,
Taunton,Taunton Deane,"51.022682,-3.10823",Trussell Trust,Somerset,South West,
St Ives (Cambridgeshire),Huntingdon,"52.327283,-0.079417",Independent,Cambridgeshire,East,"['Long Life Fruit Juice', 'Tinned Rice Pudding', 'Long Life Milk', 'Tinned Potatoes', 'Toothbrushes And Toothpaste', 'Nappies (Size 5 And Upwards Only Please)', 'Dog Food', 'Bags For Life']"
Huddersfield,Huddersfield,"53.648008,-1.780381",Independent,West Yorkshire,Yorkshire & Humber,
North Belfast,Belfast North,"54.6081356,-5.9474124",Trussell Trust,Northern Ireland,Northern Ireland,
Witney & West Oxfordshire,Witney,"51.776872,-1.48409",Trussell Trust,Oxfordshire,South East,
DENS,Hemel Hempstead,"51.749453,-0.468683",Trussell Trust,Hertfordshire,East,
Redditch,Redditch,"52.306678,-1.939536",Trussell Trust,Worcestershire,West Midlands,
St Austell,St Austell and Newquay,"50.339238,-4.780656",Trussell Trust,Cornwall,South West,
Burngreave,"Sheffield, Brightside and Hillsborough","53.391238,-1.458999",Trussell Trust,South Yorkshire,Yorkshire & Humber,
Uckfield,Wealden,"50.966185,0.082549",Trussell Trust,East Sussex,South East,
Waterloo,Vauxhall,"51.498179,-0.111937",Trussell Trust,Greater London,London,
Crowthorne,Bracknell,"51.366096,-0.817451",Trussell Trust,Berkshire,South East,"['Carton Juice', 'Long Life Milk', 'Cup A Soup', 'Jam', 'Bin Bags', 'Bleach', 'Antibacterial Spray', 'Washing Tablets', 'Hand Wash', 'Hair Conditioner', 'Adult Toothbrushes', 'Ladies Deodrant', ""Men's Deodorant"", ""Men's Shower Gel""]"
King's Centre (Honiton),Tiverton and Honiton,"50.798102,-3.192645",Independent,Devon,South West,
Rhymney Valley,Merthyr Tydfil and Rhymney,"51.71696,-3.235024",Trussell Trust,Wales,Wales,
East Elmbridge,Esher and Walton,"51.369499,-0.367201",Trussell Trust,Surrey,South East,
Hertford & District,Hertford and Stortford,"51.797718,-0.081221",Trussell Trust,Hertfordshire,East,"['Bolognese Sauce', ""Cooking Sauces (Curry, Sweet N' Sour, Chilli)"", 'Tinned Spaghetti', 'Toothpaste', 'Squash', 'Tinned Meat', 'Size 6 Nappies']"
Social Action Hub,Sherwood,"53.119334,-1.112776",IFAN,Nottinghamshire,East Midlands,
ACT,Makerfield,"53.485693,-2.639537",IFAN,Greater Manchester,North West,
Blandford,North Dorset,"50.856704,-2.162203",IFAN,Dorset,South West,
